,time,resids,b_predictor
59,,,-1.4916666666666667e-05
60,,,-2.1666666666666667e-05
61,,,-2.966666666666667e-05
62,,,-3.476190476190476e-05
63,,,-4.125e-05
64,,,-3.2166666666666665e-05
65,,,-1.695238095238095e-05
66,,,-0.00010233333333333333
67,,,-9.977777777777777e-05
68,,,-8.177777777777777e-05
69,,,-9.533333333333332e-05
70,,,-0.00010400000000000001
71,,,-0.00010322222222222223
72,,,-0.00010966666666666667
73,,,-0.00010946666666666667
74,,,-0.00010542857142857143
75,,,-0.00010695238095238096
76,,,-0.00010266666666666666
77,,,-0.00010133333333333333
78,,,-0.00010746666666666667
79,,,-9.653333333333333e-05
80,,,-9.691666666666666e-05
81,,,-9.826666666666667e-05
82,,,-9.688888888888888e-05
83,,,-9.876190476190476e-05
84,,,-0.0001056
85,,,-0.00010583333333333332
86,,,-9.833333333333334e-05
87,,,-9.483333333333333e-05
88,,,-9.628571428571429e-05
89,,,-9.952380952380952e-05
90,,,-9.633333333333333e-05
91,,,-9.809523809523811e-05
92,,,-0.00011333333333333333
93,,,-3.571428571428571e-05
94,,,-3.383333333333333e-05
95,,,-3.3259259259259265e-05
96,,,-3.118518518518519e-05
97,,,-3.122222222222222e-05
98,,,-3.371428571428571e-05
99,,,-4.142857142857143e-05
100,,,-4.4e-05
101,,,-4.514285714285714e-05
102,,,-4.60952380952381e-05
103,,,-4.291666666666667e-05
104,,,-4.238095238095238e-05
105,,,-4.3259259259259264e-05
106,,,-4.658333333333333e-05
107,,,-4.4e-05
108,,,-4.447619047619048e-05
109,,,-4.2166666666666664e-05
110,,,-3.2148148148148146e-05
111,,,-3.323809523809524e-05
112,,,-3.3e-05
113,,,-3.433333333333333e-05
114,,,-0.00012191666666666666
115,,,-0.00010813333333333332
116,,,-0.00010714285714285715
117,,,-8.65e-05
118,,,-6.6e-05
119,,,-8.253333333333334e-05
120,,,-0.00010773333333333334
121,,,-0.00010933333333333334
122,,,-0.00010988888888888889
123,,,-0.00010973333333333332
124,,,-0.00010955555555555556
125,,,-0.00010566666666666667
126,,,-0.00010038095238095238
127,,,-9.922222222222222e-05
128,,,-9.988888888888889e-05
129,,,-9.946666666666667e-05
130,,,-0.00010944444444444444
131,,,-0.0001092
132,,,-0.0001116
133,,,-0.00010911111111111111
134,,,-0.00010883333333333334
135,,,-0.00010800000000000001
136,,,-0.00010906666666666667
137,,,-0.00011188888888888888
138,,,-4.323809523809524e-05
139,,,-4.4750000000000004e-05
140,,,-3.933333333333333e-05
141,,,-3.4952380952380955e-05
142,,,-3.5333333333333336e-05
143,,,-3.514285714285714e-05
144,,,-3.4592592592592594e-05
145,,,-3.958333333333333e-05
146,,,-4.55e-05
147,,,-4.523809523809524e-05
148,,,-4.466666666666667e-05
149,,,-4.599999999999999e-05
150,,,-4.458333333333333e-05
151,,,-0.00012725
152,,,-0.00010800000000000001
153,,,-0.00010973333333333332
154,,,-0.00010977777777777779
155,,,-0.0001088
156,,,-0.00010826666666666668
157,,,-0.00010158333333333333
158,,,-9.914285714285715e-05
159,,,-9.741666666666666e-05
160,,,-9.542857142857143e-05
161,,,-9.685714285714286e-05
162,,,-9.704761904761905e-05
163,,,-9.7e-05
164,,,-9.714285714285714e-05
165,,,-0.0001005
166,,,-0.00010116666666666667
167,,,-0.00010161904761904761
168,,,-0.00010244444444444445
169,,,-0.00010333333333333334
170,,,-0.0001035
171,,,-0.00010325
172,,,-0.00010162962962962963
173,,,-9.8e-05
174,,,-9.36e-05
175,,,-9.422222222222223e-05
176,,,-9.355555555555556e-05
177,,,-9.355555555555556e-05
178,,,-9.822222222222223e-05
179,,,-0.00010400000000000001
180,,,-0.00010400000000000001
181,,,-0.00010516666666666667
182,,,-0.00010514285714285714
183,,,-0.00010838095238095238
184,,,-3.7142857142857143e-05
185,,,-3.6416666666666666e-05
186,,,-3.6e-05
187,,,-3.566666666666667e-05
188,,,-3.566666666666667e-05
189,,,-3.628571428571429e-05
190,,,-3.616666666666667e-05
191,,,-2.733333333333333e-05
192,,,-2.413333333333333e-05
193,,,-2.4333333333333333e-05
194,,,-9.733333333333333e-05
195,,,-8.666666666666667e-05
196,,,-9.586666666666666e-05
197,,,-2.466666666666666e-05
198,,,-5.657142857142857e-05
199,,,-9.933333333333333e-05
200,,,-9.903703703703703e-05
201,,,-9.885714285714286e-05
202,,,-9.876190476190476e-05
